term,place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url,lat,lng
"Centro de Ensino Especial Guará I QE 20 – Guará, Brasília – DF – 71015-037",ChIJ_____68xWpMR4aoLbKTPg44,Igreja Universal do Reino de Deus - Guará I,False,OPERATIONAL,ChIJ_____68xWpMR4aoLbKTPg44,"church,place_of_worship,point_of_interest,establishment","QE 20, Área Especial C s/n - Guará, Brasília - DF, 71015-037, Brasil",4.7,10,https://www.google.com/maps/place/?q=place_id:ChIJ_____68xWpMR4aoLbKTPg44,-15.8206723,-47.9850915
colégio infantil,ChIJ_____68xWpMRPhJhSIZTV5I,Acteg-assoc de Ciências e Tecnologia do Estado De,True,CLOSED_TEMPORARILY,ChIJ_____68xWpMRPhJhSIZTV5I,"school,point_of_interest,establishment","Qe 8 Área Especial 1 - s/n - Guará, DF",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ_____68xWpMRPhJhSIZTV5I,-15.8102388,-47.9713115
,ChIJ_____78mWpMR-5ScerxQlEI,Colégio Nossa Senhora do Perpétuo Socorro,False,OPERATIONAL,ChIJ_____78mWpMR-5ScerxQlEI,"school,point_of_interest,establishment","SHIS EQL 06/08 Conjunto A1 - Lago Sul, Brasília - DF, 71620-060",4.7,63,https://www.google.com/maps/place/?q=place_id:ChIJ_____78mWpMR-5ScerxQlEI,-15.8419707,-47.8967732
,ChIJ_____8wtWpMR5ZBGsXut3KI,Escola Meta,True,CLOSED_TEMPORARILY,ChIJ_____8wtWpMR5ZBGsXut3KI,"school,point_of_interest,establishment","Qn 7d Cj 2 Lt 1 - s/n Lt1 ao, Riacho Fundo, DF",5,2,https://www.google.com/maps/place/?q=place_id:ChIJ_____8wtWpMR5ZBGsXut3KI,-15.8836105,-48.01341499999999
,ChIJ____B4MyWpMR6lN2p2zYXx8,CEF 18 - Centro de Ensino Fundamental 18 de Taguatinga,True,CLOSED_TEMPORARILY,ChIJ____B4MyWpMR6lN2p2zYXx8,"primary_school,school,point_of_interest,establishment","QSD 32 AE 01/02, St. D Sul Qsd 32 - Taguatinga, Brasília - DF, 72020-320",5,6,https://www.google.com/maps/place/?q=place_id:ChIJ____B4MyWpMR6lN2p2zYXx8,-15.8536495,-48.0482587
,ChIJ____ByuxW5MRw76ZWfuEWjM,Centro de Ensino Médio 02 de Brazlândia,False,OPERATIONAL,ChIJ____ByuxW5MRw76ZWfuEWjM,"school,point_of_interest,establishment","Q 36 Ae 03, Vila São José - Brazlândia, DF, 72736-000",4.1,18,https://www.google.com/maps/place/?q=place_id:ChIJ____ByuxW5MRw76ZWfuEWjM,-15.6662533,-48.1970916
,ChIJ____P4HMW5MRFIj_iZ4FZIM,CEF 20 de Ceilândia,False,OPERATIONAL,ChIJ____P4HMW5MRFIj_iZ4FZIM,"school,secondary_school,point_of_interest,establishment","Eqnm 08/10, Ceilândia Norte - Ceilândia, Brasília - DF, 72210-540",4.4,26,https://www.google.com/maps/place/?q=place_id:ChIJ____P4HMW5MRFIj_iZ4FZIM,-15.8009616,-48.1162447
,ChIJ____X2DSW5MRNkjsuIXdmQU,Centro Educacional 123 De Samambaia,False,OPERATIONAL,ChIJ____X2DSW5MRNkjsuIXdmQU,"school,primary_school,point_of_interest,establishment","Qr 123 Ae Setor Sul, St. Sul - Samambaia Sul, DF, 72303-000",3.7,22,https://www.google.com/maps/place/?q=place_id:ChIJ____X2DSW5MRNkjsuIXdmQU,-15.8937745,-48.1227628
,ChIJ__-vKDY6WpMR4fYUQ7oF_xU,Escola de Conversação,False,OPERATIONAL,ChIJ__-vKDY6WpMR4fYUQ7oF_xU,"school,point_of_interest,establishment","Asa Norte CLN 309 Bloco C Sala 201 a 205 - Asa Norte, Brasília - DF, 70755-530",4.6,12,https://www.google.com/maps/place/?q=place_id:ChIJ__-vKDY6WpMR4fYUQ7oF_xU,-15.7595564,-47.8820426
escola infantil,ChIJ__2bnB2EWZMRo2NFRGEu4DM,Escola Infantil Jean Piaget,True,CLOSED_TEMPORARILY,ChIJ__2bnB2EWZMRo2NFRGEu4DM,"school,point_of_interest,establishment","Novo Jardim Oriente, Valparaíso de Goiás - GO",5,2,https://www.google.com/maps/place/?q=place_id:ChIJ__2bnB2EWZMRo2NFRGEu4DM,-16.0687587,-47.9883479
,ChIJ__8_QyI7WpMRCOXnibTvBB4,CEF Metropolitana,False,OPERATIONAL,ChIJ__8_QyI7WpMRCOXnibTvBB4,"secondary_school,school,point_of_interest,establishment","Metropolitana - Núcleo Bandeirante, Brasília - DF",4.7,17,https://www.google.com/maps/place/?q=place_id:ChIJ__8_QyI7WpMRCOXnibTvBB4,-15.8815144,-47.9748803
centro educacional,ChIJ__8T9sY6WpMRP7f1ZNAGswA,Centro Educacional Tecnológico Brasileiro,True,CLOSED_TEMPORARILY,ChIJ__8T9sY6WpMRP7f1ZNAGswA,"school,point_of_interest,establishment","SHCS SQS 305 - Brasília, DF, 70830-302",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ__8T9sY6WpMRP7f1ZNAGswA,-15.809429,-47.8986951
,ChIJ__RfF_8zWpMR-A9ULjiWusc,"Escola DR KIDS - Creche, berçário e educação infantil",False,OPERATIONAL,ChIJ__RfF_8zWpMR-A9ULjiWusc,"school,point_of_interest,establishment","Taguatinga Norte QNF 14 Casa 39 - Taguatinga, Brasília - DF, 72125-640",5,1,https://www.google.com/maps/place/?q=place_id:ChIJ__RfF_8zWpMR-A9ULjiWusc,-15.8152004,-48.0692406
maternal,ChIJ_-kWL7SGWZMR0mMJtCP7dlc,Accpas Associação Creche Comunitaria Paraiso Dos Sonhos,True,CLOSED_TEMPORARILY,ChIJ_-kWL7SGWZMR0mMJtCP7dlc,"school,point_of_interest,establishment","72871009 Rua 9, qd 33, lt 18 - Jardim Ceu Azul, Valparaíso de Goiás - GO, 72871-009",5,5,https://www.google.com/maps/place/?q=place_id:ChIJ_-kWL7SGWZMR0mMJtCP7dlc,-16.0705712,-47.9740581
,ChIJ_-WpZYQfWpMRKl4gGfTBtWQ,EC Vila Nova,True,CLOSED_TEMPORARILY,ChIJ_-WpZYQfWpMRKl4gGfTBtWQ,"school,point_of_interest,establishment","Rua 31 - 200, 200, Sao Sebastao Sao Jose - São Sebastião, DF, 71693-032",3.6,18,https://www.google.com/maps/place/?q=place_id:ChIJ_-WpZYQfWpMRKl4gGfTBtWQ,-15.9137922,-47.7593808
colégio infantil,ChIJ_0ZfAFQuWpMRxudn7tIHQdA,Cursinho Portal,True,CLOSED_TEMPORARILY,ChIJ_0ZfAFQuWpMRxudn7tIHQdA,"school,point_of_interest,establishment","3ª Avenida - bl Klmn lj 38 - Núcleo Bandeirante, DF, 71720-590",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ_0ZfAFQuWpMRxudn7tIHQdA,-15.8701621,-47.96620979999999
,ChIJ_17AsSWEWZMRDu3N_j2W76A,Escola Municipal Professora Divina Lourenco de Melo Leão,False,OPERATIONAL,ChIJ_17AsSWEWZMRDu3N_j2W76A,"school,point_of_interest,establishment","Q. 33, 25-285 - Valparaizo I, Valparaíso de Goiás - GO",3.4,8,https://www.google.com/maps/place/?q=place_id:ChIJ_17AsSWEWZMRDu3N_j2W76A,-16.0707986,-47.97314249999999
centro educacional,ChIJ_1AgiqkqWpMR20vGBb-xjek,Centro De Ensino Fundamental 05 Do Gama,True,CLOSED_TEMPORARILY,ChIJ_1AgiqkqWpMR20vGBb-xjek,"school,hospital,health,point_of_interest,establishment","St. Oeste Q 26 - Gama, Brasília - DF, 72420-260",4.4,17,https://www.google.com/maps/place/?q=place_id:ChIJ_1AgiqkqWpMR20vGBb-xjek,-16.0157511,-48.0779717
"Escola Classe 41 Eqnl 13/15, St. B Sul Qsb Ae Qsb 10 – Taguatinga, Brasília – DF – 72151-510",ChIJ_3FOWpMyWpMRCofBTOZXaUs,Musivida Taguatinga - DF,False,OPERATIONAL,ChIJ_3FOWpMyWpMRCofBTOZXaUs,"point_of_interest,establishment","QSB 10 Área Especial 10, Taguatinga, St. B Sul, Brasília - DF, 72020-100, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ_3FOWpMyWpMRCofBTOZXaUs,-15.8400707,-48.0550911
"Biblioteca Infantil 104/304 Asa Sul Superquadra Sul304 – Brasília, DF – 70297-400",ChIJ_3LcZsQ6WpMRSKiMDs7bSkE,Biblioteca Infantil 104/304,False,OPERATIONAL,ChIJ_3LcZsQ6WpMRSKiMDs7bSkE,"library,point_of_interest,establishment","Asa Sul Superquadra Sul 304 - Brasília, DF, 70337-000, Brasil",4.8,9,https://www.google.com/maps/place/?q=place_id:ChIJ_3LcZsQ6WpMRSKiMDs7bSkE,-15.807422,-47.8954562
,ChIJ_3TThCoyWpMRHvpvxrZ4QjI,Colégio Mafra,False,OPERATIONAL,ChIJ_3TThCoyWpMRHvpvxrZ4QjI,"school,point_of_interest,establishment","SHVP Rua 1 Chácara 3 Lote 42-A, Vicente Pires, Brasília - DF, 72005-115",5,16,https://www.google.com/maps/place/?q=place_id:ChIJ_3TThCoyWpMRHvpvxrZ4QjI,-15.8098433,-48.00171230000001
,ChIJ_4eYr3A5WpMRlD4a4Iu_0u4,Escola Classe 08 Do Cruzeiro,True,CLOSED_TEMPORARILY,ChIJ_4eYr3A5WpMRlD4a4Iu_0u4,"school,point_of_interest,establishment","SHIN Q 4 - Lago Norte, Brasília - DF, 71540-400",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ_4eYr3A5WpMRlD4a4Iu_0u4,-15.71194,-47.87755
escola classe,ChIJ_65bPxjNW5MR4BArZA_w-qw,Escola Classe 15 De Ceilândia,True,CLOSED_TEMPORARILY,ChIJ_65bPxjNW5MR4BArZA_w-qw,"school,point_of_interest,establishment","Eqnn 08/10 - Ceilândia, Brasília - DF, 72220-540",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ_65bPxjNW5MR4BArZA_w-qw,-15.837565,-48.1004592
,ChIJ_7BjC2fMW5MRKbN_mtMlWts,Escola Classe 36,False,OPERATIONAL,ChIJ_7BjC2fMW5MRKbN_mtMlWts,"school,point_of_interest,establishment","St. P EQNP 9/5 Conjunto P - Ceilândia, Brasília - DF, 72240-415",3.5,8,https://www.google.com/maps/place/?q=place_id:ChIJ_7BjC2fMW5MRKbN_mtMlWts,-15.8177364,-48.1267771
