term,place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url,lat,lng
"Escola Classe 410 Sul Asa Sul Superquadra Sul 410 – Asa Sul, Brasília – DF – 70276-160",ChIJdf3u_TUlWpMR5_BzoNEFZvY,Colégio Marista Pio XII,False,OPERATIONAL,ChIJdf3u_TUlWpMR5_BzoNEFZvY,"school,point_of_interest,establishment","s/n SGAS 609 Conjunto E - Asa Sul, Brasília - DF, 70200-690, Brasil",4.4,9,https://www.google.com/maps/place/?q=place_id:ChIJdf3u_TUlWpMR5_BzoNEFZvY,-15.8266677,-47.9014996
"Centro de Educação Infantil 08 St. D Norte QND Condomínio – Taguatinga, Brasília – DF –72120-055",ChIJDfp-GM3MW5MRtmg5i7-Ea2c,Centro De Educação Infantil 05 De Taguatinga,True,CLOSED_TEMPORARILY,ChIJDfp-GM3MW5MRtmg5i7-Ea2c,"school,point_of_interest,establishment","Eqnj 23/25 Ae 09 - Taguatinga, Brasília - DF, 72140-230, Brasil",5,2,https://www.google.com/maps/place/?q=place_id:ChIJDfp-GM3MW5MRtmg5i7-Ea2c,-15.8154542,-48.0814438
"CIEF SGAS I SGAS 907 – Asa Sul, Brasília – DF – 70390-070",ChIJdSAlBfY7WpMRkzAhkXmC8WI,Tênis de Mesa CIEF,False,OPERATIONAL,ChIJdSAlBfY7WpMRkzAhkXmC8WI,"school,point_of_interest,establishment","Unnamed Road, SGAS I SGAS 907, Brasília - DF, 70390-100, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJdSAlBfY7WpMRkzAhkXmC8WI,-15.8064607,-47.90982450000001
"Centro de Ensino Médio 02 QNM 14 Área Especial, Ceilândia, Brasília/DF – CEP: 72210-140",ChIJdSGjp5HMW5MRBs1qPKu4ad0,Centro De Ensino Médio 02 De Ceilândia,False,OPERATIONAL,ChIJdSGjp5HMW5MRBs1qPKu4ad0,"school,point_of_interest,establishment","St. M QNM 14 - Ceilândia, Brasília - DF, 72210-140, Brasil",4.4,62,https://www.google.com/maps/place/?q=place_id:ChIJdSGjp5HMW5MRBs1qPKu4ad0,-15.8077972,-48.1088098
Escola Classe 08 Piq Q 04 Lt 01 Setor Veredas Veredas – Brazlândia – DF – 72725-400,ChIJdVlB7k63W5MRV1tpa5503-8,Escola Classe 08 De Brazlândia,True,CLOSED_TEMPORARILY,ChIJdVlB7k63W5MRV1tpa5503-8,"school,point_of_interest,establishment","Piq Q 04 Lt 01 Setor Veredas Veredas - Brazlândia, DF, 72725-400, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJdVlB7k63W5MRV1tpa5503-8,-15.6703593,-48.2020471
"CEF Juscelino Kubitschek Br 020 – Mod 7 Lt 17,18,19,24,25 E 26, Condomínio Mte. D’armas – Planaltina, DF – 73300-000",ChIJdwCAxwQTWpMRrSSJeMn9oyI,Centro De Ensino Fundamental Juscelino K,False,OPERATIONAL,ChIJdwCAxwQTWpMRrSSJeMn9oyI,"school,primary_school,point_of_interest,establishment","Br 020 - Mod 7 Lt 17,18,19,24,25 E 26, Condomínio Mte. D'armas - Planaltina, DF, 73300-000, Brasil",3.9,10,https://www.google.com/maps/place/?q=place_id:ChIJdwCAxwQTWpMRrSSJeMn9oyI,-15.6011796,-47.68802609999999
"CAIC Juscelino Kubitschek Park Way Trecho 2 Q 6 – Núcleo Bandeirante, Brasília – DF – 70297-400",ChIJdXfPyvYuWpMRY5Gj1-Zdn8w,Escola Classe Metropolitana,True,CLOSED_TEMPORARILY,ChIJdXfPyvYuWpMRY5Gj1-Zdn8w,"school,point_of_interest,establishment","Metropolitana - Núcleo Bandeirante, Brasília - DF, 71740-800, Brasil",4,1,https://www.google.com/maps/place/?q=place_id:ChIJdXfPyvYuWpMRY5Gj1-Zdn8w,-15.8814986,-47.9749195
"Centro de Educação Infantil 03 CEI 03, QD 16 – AE D1 – Sobradinho, Brasília – DF – 73050-160",ChIJDYMxywo_WpMR0RE3GZfVIHk,Centro de Ensino Infantil 03 de Sobradinho - CEI 03,True,CLOSED_TEMPORARILY,ChIJDYMxywo_WpMR0RE3GZfVIHk,"school,point_of_interest,establishment","QD 16 - AE D1 - Sobradinho, Brasília - DF, 73050-160, Brasil",1,1,https://www.google.com/maps/place/?q=place_id:ChIJDYMxywo_WpMR0RE3GZfVIHk,-15.647277,-47.7741973
escola,ChIJE-a4pn7SW5MRTob-FT7q25s,Centro de Ensino 619,True,CLOSED_TEMPORARILY,ChIJE-a4pn7SW5MRTob-FT7q25s,"school,point_of_interest,establishment","QR 619 - s/n sn - Samambaia Sul, DF, 72333-107, Brasil",1,1,https://www.google.com/maps/place/?q=place_id:ChIJE-a4pn7SW5MRTob-FT7q25s,-15.8789954,-48.1241458
"Centro de Ensino Médio 04 QNN 14 Área Especial, Ceilândia Sul, Brasília/DF – CEP: 72220-140",ChIJE0iiXOPMW5MR-8eRkY3pZqM,Centro De Ensino Médio 04 De Ceilândia,False,OPERATIONAL,ChIJE0iiXOPMW5MR-8eRkY3pZqM,"school,point_of_interest,establishment","St. N QNN 14 - Ceilândia, Brasília - DF, 72220-140, Brasil",4.1,31,https://www.google.com/maps/place/?q=place_id:ChIJE0iiXOPMW5MR-8eRkY3pZqM,-15.8290435,-48.1091529
"Centro de Ensino Fundamental 17 Eqnm 38/40 Ae Lt A, Taguatinga Norte – Taguatinga, Brasília – DF – 72145-520",ChIJe2EfyqPMW5MR929ougON76o,CEF 17 de Taguatinga,True,CLOSED_TEMPORARILY,ChIJe2EfyqPMW5MR929ougON76o,"school,point_of_interest,establishment","Eqnm 38/40 Ae Lt A, Taguatinga Norte - Taguatinga, Brasília - DF, 72145-520, Brasil",3.9,15,https://www.google.com/maps/place/?q=place_id:ChIJe2EfyqPMW5MR929ougON76o,-15.796788,-48.1025797
"CAIC Juscelino Kubitschek Park Way Trecho 2 Q 6 – Núcleo Bandeirante, Brasília – DF – 70297-400",ChIJe2PwXJgvWpMRhOuuOa49-Gg,Núcleo bandeirante,False,OPERATIONAL,ChIJe2PwXJgvWpMRhOuuOa49-Gg,"school,point_of_interest,establishment","Núcleo Bandeirante, Brasília - DF, 70297-400, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJe2PwXJgvWpMRhOuuOa49-Gg,-15.8711543,-47.97087
"Centro Educacional do Lago Sul St. de Habitações Individuais Sul – Lago Sul, Brasília – DF – 70297-400",ChIJE3cOHNwkWpMRphIoHppqYzw,CTJ Lago Sul,True,CLOSED_TEMPORARILY,ChIJE3cOHNwkWpMRphIoHppqYzw,"school,point_of_interest,establishment","St. de Habitações Individuais Sul - Lago Sul, Brasília - DF, 70297-400, Brasil",5,1,https://www.google.com/maps/place/?q=place_id:ChIJE3cOHNwkWpMRphIoHppqYzw,-15.8309721,-47.8770403
"CEF 01 da Candangolândia QR 2 – Candangolândia, Brasília – DF – 71725-200",ChIJE3WwTbgvWpMR9JHjfi2yYwQ,Caixa Escolar do C. de Educacional Infantil da Candang.,True,CLOSED_TEMPORARILY,ChIJE3WwTbgvWpMR9JHjfi2yYwQ,"school,point_of_interest,establishment","Qr 1A Praça do Bosque 1 - Candangolândia, Brasília - DF, Brasil",5,1,https://www.google.com/maps/place/?q=place_id:ChIJE3WwTbgvWpMR9JHjfi2yYwQ,-15.8542479,-47.9497699
"Escola Classe 04 Entrequadra 03/04 – SRL, Brasília – DF – 73350-350",ChIJe5dk-ScTWpMRNeYjakpPld0,EC 04 de Planaltina,True,CLOSED_TEMPORARILY,ChIJe5dk-ScTWpMRNeYjakpPld0,"school,point_of_interest,establishment","Entrequadra 03/04 - SRL, Brasília - DF, 73350-350, Brasil",4,5,https://www.google.com/maps/place/?q=place_id:ChIJe5dk-ScTWpMRNeYjakpPld0,-15.621333,-47.646252
"EC 02 do Riacho Fundo I QN 05 AE 07, Riacho Fundo I, Brasília/DF – 71805-400",ChIJE7GqKlMsWpMRBKpVRzJDikU,Escola Classel 02 Do Riacho Fundo,True,CLOSED_TEMPORARILY,ChIJE7GqKlMsWpMRBKpVRzJDikU,"school,point_of_interest,establishment","Qn 05 - Riacho Fundo I, Brasília - DF, 71805-400, Brasil",4,4,https://www.google.com/maps/place/?q=place_id:ChIJE7GqKlMsWpMRBKpVRzJDikU,-15.8817574,-48.0156319
