term,place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url,lat,lng
"CEPI Ipê Branco QNN 13, Área Especial, Ceilândia Oeste, Brasília/DF – CEP: 72225-130",ChIJ8VSHBIvMW5MR3-gBekezOHw,Creche Ipe Branco,True,CLOSED_PERMANENTLY,ChIJ8VSHBIvMW5MR3-gBekezOHw,"point_of_interest,establishment","St. N QNN 13 - Ceilândia, Brasília - DF, 72225-130, Brasil",5,1,https://www.google.com/maps/place/?q=place_id:ChIJ8VSHBIvMW5MR3-gBekezOHw,-15.8145359,-48.1172465
"CEPI Estrela do Cerrado QNP 28 Área Especial 02, Ceilândia, Brasília/DF – CEP: 72235-800",ChIJo4hIO6_NW5MR5BILoVEvPJ8,Creche Pública Estrela Do Cerrado,False,OPERATIONAL,ChIJo4hIO6_NW5MR5BILoVEvPJ8,"point_of_interest,establishment","St. P CNM 2 - Ceilândia, Brasília - DF, 72235-808, Brasil",4.7,3,https://www.google.com/maps/place/?q=place_id:ChIJo4hIO6_NW5MR5BILoVEvPJ8,-15.8449704,-48.1258886
