place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url
ChIJQQ2ahxIyWpMRD1m_DEwJJ6E,DESCOMPLICA ACOMPANHAMENTO E REFORÇO ESCOLAR,False,OPERATIONAL,ChIJQQ2ahxIyWpMRD1m_DEwJJ6E,"school,point_of_interest,establishment","Rua 13 Sul Quadra 204 Lote 2 Ed. Alfa Mix Center Sala 34 - Águas Claras, Brasília - DF, 71939-540",5,1,https://www.google.com/maps/place/?q=place_id:ChIJQQ2ahxIyWpMRD1m_DEwJJ6E
ChIJqVQUA2otWpMRRb2rVdclzN8,Escola Educ+ Samambaia,False,OPERATIONAL,ChIJqVQUA2otWpMRRb2rVdclzN8,"school,point_of_interest,establishment","QR 320 - Samambaia Sul, Brasília - DF, 72310-509",4.8,5,https://www.google.com/maps/place/?q=place_id:ChIJqVQUA2otWpMRRb2rVdclzN8
ChIJr04tX20yWpMRBPYbCvDmcnA,Wizard Aguas Claras 2,False,OPERATIONAL,ChIJr04tX20yWpMRBPYbCvDmcnA,"school,point_of_interest,establishment","Q. 105 1665 - Águas Claras, Brasília - DF, 71925-000",2.8,6,https://www.google.com/maps/place/?q=place_id:ChIJr04tX20yWpMRBPYbCvDmcnA
ChIJraqq0ugyWpMR1N0OOxu0Vlk,Claretiano Colégio - Centro Educacional Stella Maris,False,OPERATIONAL,ChIJraqq0ugyWpMR1N0OOxu0Vlk,"school,point_of_interest,establishment","Área Especial para Igreja Católica s/n Setor C 7 - Parte B - Taguatinga, Brasília - DF, 72010-070",3.6,49,https://www.google.com/maps/place/?q=place_id:ChIJraqq0ugyWpMR1N0OOxu0Vlk
ChIJrWyT-I8xWpMRakt0_4sSSHE,Escola Parque do Saber,True,CLOSED_TEMPORARILY,ChIJrWyT-I8xWpMRakt0_4sSSHE,"school,point_of_interest,establishment","Qe 20 Conjunto M Casa 15 1, Guará I, Brasília - DF",0,0,https://www.google.com/maps/place/?q=place_id:ChIJrWyT-I8xWpMRakt0_4sSSHE
ChIJrXV4F-wzWpMRXrlSQ4E-fO0,Fênix Reforço Escolar Águas Claras,True,CLOSED_TEMPORARILY,ChIJrXV4F-wzWpMRXrlSQ4E-fO0,"school,point_of_interest,establishment",Quadra 105 Bloco A Edifício Mirante Parque Sobreloja,0,0,https://www.google.com/maps/place/?q=place_id:ChIJrXV4F-wzWpMRXrlSQ4E-fO0
ChIJRXwI8SgtWpMRSnkA72d-vR4,Escola de Educação Infantil Cirandinha,True,CLOSED_TEMPORARILY,ChIJRXwI8SgtWpMRSnkA72d-vR4,"school,point_of_interest,establishment","St. E Sul QSE 19 - Taguatinga, Brasília - DF, 70297-400",5,1,https://www.google.com/maps/place/?q=place_id:ChIJRXwI8SgtWpMRSnkA72d-vR4
ChIJRxxDgOTMW5MRvIL5o6uO45g,Escola de Primeiro Grau Nova Aliança,True,CLOSED_TEMPORARILY,ChIJRxxDgOTMW5MRvIL5o6uO45g,"school,point_of_interest,establishment","Eqnn 30 Modulo e 1, Brasília - DF",0,0,https://www.google.com/maps/place/?q=place_id:ChIJRxxDgOTMW5MRvIL5o6uO45g
ChIJse7XO64tWpMRf6W77AHkxBg,Escola educ mais,False,OPERATIONAL,ChIJse7XO64tWpMRf6W77AHkxBg,"school,point_of_interest,establishment","QS 320 - Samambaia Sul, Brasília - DF, 70310-509",5,1,https://www.google.com/maps/place/?q=place_id:ChIJse7XO64tWpMRf6W77AHkxBg
ChIJSzHWtHgtWpMR_CvFCpswTTQ,Caixa Escolar Centro de Ensino de 1 Grau 05 de Taguat,True,CLOSED_TEMPORARILY,ChIJSzHWtHgtWpMR_CvFCpswTTQ,"school,point_of_interest,establishment","Qse 22 Área Especial 9 - Taguatinga, Brasília - DF",0,0,https://www.google.com/maps/place/?q=place_id:ChIJSzHWtHgtWpMR_CvFCpswTTQ
ChIJT2AxTeAzWpMRtympvmXswus,CEDAE - Acompanhamento Escolar,False,OPERATIONAL,ChIJT2AxTeAzWpMRtympvmXswus,"school,point_of_interest,establishment","Rua 30 Norte - Bloco A - Sala 412 - Edifício Cosmopolitan - Águas Claras, Brasília - DF, 71918-180",0,0,https://www.google.com/maps/place/?q=place_id:ChIJT2AxTeAzWpMRtympvmXswus
ChIJtdLbkMMtWpMRu4bX4Hk8sas,Escola Baby House - Berçário ao Infantil 5,False,OPERATIONAL,ChIJtdLbkMMtWpMRu4bX4Hk8sas,"school,point_of_interest,establishment","Q. 301 Casa 7 - Águas Claras, Brasília - DF",5,64,https://www.google.com/maps/place/?q=place_id:ChIJtdLbkMMtWpMRu4bX4Hk8sas
ChIJTSRc__IyWpMR-ZWJ4LWhJFM,GRUA Escola de Fotografia,False,OPERATIONAL,ChIJTSRc__IyWpMR-ZWJ4LWhJFM,"school,point_of_interest,establishment","RUA PAU BRASIL, lote 10 le quartier, sala 1322 - Águas Claras, Brasília - DF, 71926-000",5,1,https://www.google.com/maps/place/?q=place_id:ChIJTSRc__IyWpMR-ZWJ4LWhJFM
ChIJubfAAR8zWpMRYe4NhykYDmg,Escola Casa de Brinquedos,False,OPERATIONAL,ChIJubfAAR8zWpMRYe4NhykYDmg,"school,point_of_interest,establishment","QNA 51 LOTE 18 - Taguatinga, Brasília - DF, 72110-510",4.9,26,https://www.google.com/maps/place/?q=place_id:ChIJubfAAR8zWpMRYe4NhykYDmg
ChIJV08ElQ4yWpMRxKaF2P0ZV_A,Creche Bambuluá,False,OPERATIONAL,ChIJV08ElQ4yWpMRxKaF2P0ZV_A,"school,point_of_interest,establishment","Avenida Vereda da Cruz, conjunto 06 chácara 26/27, lotes 5 e 6 - Águas Claras, Brasília - DF, 70297-400",4.4,9,https://www.google.com/maps/place/?q=place_id:ChIJV08ElQ4yWpMRxKaF2P0ZV_A
ChIJvQIbn9ctWpMRONNfB32NCLg,Escola Quebra Nozes,True,CLOSED_TEMPORARILY,ChIJvQIbn9ctWpMRONNfB32NCLg,"school,point_of_interest,establishment",QR 110 conj 10 A Let 01 casa,5,2,https://www.google.com/maps/place/?q=place_id:ChIJvQIbn9ctWpMRONNfB32NCLg
ChIJvWRjdeUyWpMRyxggLWJob88,Escola Infantil Esteves e Melo,True,CLOSED_TEMPORARILY,ChIJvWRjdeUyWpMRyxggLWJob88,"school,point_of_interest,establishment","Qna, 35 - Taguatinga, Brasília - DF, 70297-400",0,0,https://www.google.com/maps/place/?q=place_id:ChIJvWRjdeUyWpMRyxggLWJob88
ChIJw7Zt_8wzWpMRtMVJ45svyFc,Escola UNI,False,OPERATIONAL,ChIJw7Zt_8wzWpMRtMVJ45svyFc,"school,point_of_interest,establishment","CSB 02 Lote 5/6 Ala B - 1º Pavimento - Taguatinga Sul, Brasília - DF, 72015-520",5,1,https://www.google.com/maps/place/?q=place_id:ChIJw7Zt_8wzWpMRtMVJ45svyFc
